run_id,dataset_type,imbalance_ratio,model,strategy,train_set_size,accuracy,f1_macro,f1_minority,precision_minority,recall_minority,roc_auc
1,control,1:1,baseline,N/A,712,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8685717372515126
1,control,1:1,ddpm,Naive Oversampling,712,0.8082901554404145,0.8082695663847497,0.806282722513089,0.7549019607843137,0.8651685393258427,0.8618733794295591
1,control,1:1,nflow,Naive Oversampling,712,0.8082901554404145,0.8082695663847497,0.806282722513089,0.7549019607843137,0.8651685393258427,0.8717048401037165
1,control,1:1,ctgan,Naive Oversampling,712,0.8031088082901554,0.8031035223367697,0.8041237113402062,0.7428571428571429,0.8764044943820225,0.8710566119273985
1,control,1:1,tvae,Naive Oversampling,712,0.8134715025906736,0.8134664948453608,0.8125,0.7572815533980582,0.8764044943820225,0.8747839239412274
2,control,1:1,baseline,N/A,712,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8685717372515126
2,control,1:1,ddpm,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.863980121002593
2,control,1:1,nflow,Naive Oversampling,712,0.8082901554404145,0.8082901554404145,0.8082901554404145,0.75,0.8764044943820225,0.8703543647363872
2,control,1:1,ctgan,Naive Oversampling,712,0.8082901554404145,0.8082901554404145,0.8082901554404145,0.75,0.8764044943820225,0.865222558340536
2,control,1:1,tvae,Naive Oversampling,712,0.8134715025906736,0.8134664948453608,0.8125,0.7572815533980582,0.8764044943820225,0.8747839239412274
3,control,1:1,baseline,N/A,712,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8685717372515126
3,control,1:1,ddpm,Naive Oversampling,712,0.7927461139896373,0.7926960257787325,0.7894736842105263,0.7425742574257426,0.8426966292134831,0.8667891097666379
3,control,1:1,nflow,Naive Oversampling,712,0.7979274611398963,0.7978406252517927,0.7936507936507936,0.75,0.8426966292134831,0.8654386343993086
3,control,1:1,ctgan,Naive Oversampling,712,0.8031088082901554,0.8031035223367697,0.8020833333333334,0.7475728155339806,0.8651685393258427,0.8659788245462402
3,control,1:1,tvae,Naive Oversampling,712,0.8134715025906736,0.8134664948453608,0.8125,0.7572815533980582,0.8764044943820225,0.8747839239412274
1,control,10:1,baseline,N/A,453,0.7823834196891192,0.7820967741935484,0.7741935483870968,0.7422680412371134,0.8089887640449438,0.8682476231633534
1,control,10:1,ddpm,Naive Oversampling,453,0.7875647668393783,0.7874734778288077,0.783068783068783,0.74,0.8314606741573034,0.8704083837510803
1,control,10:1,nflow,Naive Oversampling,453,0.8031088082901554,0.8028494623655914,0.7956989247311828,0.7628865979381443,0.8314606741573034,0.8658707865168539
1,control,10:1,ctgan,Naive Oversampling,453,0.7979274611398963,0.7978406252517927,0.7936507936507936,0.75,0.8426966292134831,0.8639261019878998
1,control,10:1,tvae,Naive Oversampling,453,0.8031088082901554,0.80297657425317,0.7978723404255319,0.7575757575757576,0.8426966292134831,0.865222558340536
2,control,10:1,baseline,N/A,453,0.7823834196891192,0.7820967741935484,0.7741935483870968,0.7422680412371134,0.8089887640449438,0.8682476231633534
2,control,10:1,ddpm,Naive Oversampling,453,0.7823834196891192,0.7820967741935484,0.7741935483870968,0.7422680412371134,0.8089887640449438,0.8665730337078652
2,control,10:1,nflow,Naive Oversampling,453,0.7927461139896373,0.7926069202664947,0.7872340425531915,0.7474747474747475,0.8314606741573034,0.8637640449438202
2,control,10:1,ctgan,Naive Oversampling,453,0.7875647668393783,0.7873592561739178,0.7807486631016043,0.7448979591836735,0.8202247191011236,0.8650605012964564
2,control,10:1,tvae,Naive Oversampling,453,0.8031088082901554,0.80297657425317,0.7978723404255319,0.7575757575757576,0.8426966292134831,0.8653305963699223
3,control,10:1,baseline,N/A,453,0.7823834196891192,0.7820967741935484,0.7741935483870968,0.7422680412371134,0.8089887640449438,0.8682476231633534
3,control,10:1,ddpm,Naive Oversampling,453,0.7927461139896373,0.7926960257787325,0.7894736842105263,0.7425742574257426,0.8426966292134831,0.8705164217804667
3,control,10:1,nflow,Naive Oversampling,453,0.7875647668393783,0.7874734778288077,0.783068783068783,0.74,0.8314606741573034,0.8674913569576491
3,control,10:1,ctgan,Naive Oversampling,453,0.8031088082901554,0.80297657425317,0.7978723404255319,0.7575757575757576,0.8426966292134831,0.8681395851339672
3,control,10:1,tvae,Naive Oversampling,453,0.8031088082901554,0.80297657425317,0.7978723404255319,0.7575757575757576,0.8426966292134831,0.865222558340536
1,control,100:1,baseline,N/A,416,0.7772020725388601,0.7766023311529247,0.7650273224043715,0.7446808510638298,0.7865168539325843,0.8641421780466724
1,control,100:1,ddpm,Naive Oversampling,416,0.7875647668393783,0.7869929204016259,0.7759562841530054,0.7553191489361702,0.797752808988764,0.8704083837510804
1,control,100:1,nflow,Naive Oversampling,416,0.7823834196891192,0.7816742081447964,0.7692307692307693,0.7526881720430108,0.7865168539325843,0.865600691443388
1,control,100:1,ctgan,Naive Oversampling,416,0.772020725388601,0.7712777418659771,0.7582417582417582,0.7419354838709677,0.7752808988764045,0.8589023336214348
1,control,100:1,tvae,Naive Oversampling,416,0.7875647668393783,0.7871991394379454,0.7783783783783784,0.75,0.8089887640449438,0.8691659464131374
2,control,100:1,baseline,N/A,416,0.7772020725388601,0.7766023311529247,0.7650273224043715,0.7446808510638298,0.7865168539325843,0.8641961970613656
2,control,100:1,ddpm,Naive Oversampling,416,0.7875647668393783,0.7871991394379454,0.7783783783783784,0.75,0.8089887640449438,0.8693280034572171
2,control,100:1,nflow,Naive Oversampling,416,0.7772020725388601,0.7768186096544305,0.7675675675675676,0.7395833333333334,0.797752808988764,0.8639261019878998
2,control,100:1,ctgan,Naive Oversampling,416,0.7927461139896373,0.7926960257787325,0.7894736842105263,0.7425742574257426,0.8426966292134831,0.8686797752808988
2,control,100:1,tvae,Naive Oversampling,416,0.7875647668393783,0.7871991394379454,0.7783783783783784,0.75,0.8089887640449438,0.8691659464131374
3,control,100:1,baseline,N/A,416,0.7772020725388601,0.7766023311529247,0.7650273224043715,0.7446808510638298,0.7865168539325843,0.8641961970613656
3,control,100:1,ddpm,Naive Oversampling,416,0.7772020725388601,0.7766023311529247,0.7650273224043715,0.7446808510638298,0.7865168539325843,0.8664649956784788
3,control,100:1,nflow,Naive Oversampling,416,0.7979274611398963,0.7971432421506536,0.7845303867403315,0.7717391304347826,0.797752808988764,0.8666810717372515
3,control,100:1,ctgan,Naive Oversampling,416,0.7875647668393783,0.7873592561739178,0.7807486631016043,0.7448979591836735,0.8202247191011236,0.8672752808988764
3,control,100:1,tvae,Naive Oversampling,416,0.7875647668393783,0.7871991394379454,0.7783783783783784,0.75,0.8089887640449438,0.8691659464131374
1,control,20:1,baseline,N/A,432,0.7772020725388601,0.7768186096544305,0.7675675675675676,0.7395833333333334,0.797752808988764,0.8652765773552291
1,control,20:1,ddpm,Naive Oversampling,432,0.7823834196891192,0.7820967741935484,0.7741935483870968,0.7422680412371134,0.8089887640449438,0.865276577355229
1,control,20:1,nflow,Naive Oversampling,432,0.7772020725388601,0.7768186096544305,0.7675675675675676,0.7395833333333334,0.797752808988764,0.8726231633535004
1,control,20:1,ctgan,Naive Oversampling,432,0.7668393782383419,0.7668143374949659,0.7643979057591623,0.7156862745098039,0.8202247191011236,0.8541486603284356
1,control,20:1,tvae,Naive Oversampling,432,0.7823834196891192,0.7820967741935484,0.7741935483870968,0.7422680412371134,0.8089887640449438,0.8673833189282627
2,control,20:1,baseline,N/A,432,0.7772020725388601,0.7768186096544305,0.7675675675675676,0.7395833333333334,0.797752808988764,0.8652765773552291
2,control,20:1,ddpm,Naive Oversampling,432,0.7875647668393783,0.7873592561739178,0.7807486631016043,0.7448979591836735,0.8202247191011236,0.8605769230769231
2,control,20:1,nflow,Naive Oversampling,432,0.7823834196891192,0.7823308270676692,0.7789473684210526,0.7326732673267327,0.8314606741573034,0.8636560069144339
2,control,20:1,ctgan,Naive Oversampling,432,0.7927461139896373,0.7926960257787325,0.7894736842105263,0.7425742574257426,0.8426966292134831,0.859604580812446
2,control,20:1,tvae,Naive Oversampling,432,0.7823834196891192,0.7820967741935484,0.7741935483870968,0.7422680412371134,0.8089887640449438,0.8673833189282627
3,control,20:1,baseline,N/A,432,0.7772020725388601,0.7768186096544305,0.7675675675675676,0.7395833333333334,0.797752808988764,0.8652765773552291
