run_id,dataset_type,imbalance_ratio,model,strategy,train_set_size,accuracy,f1_macro,f1_minority,precision_minority,recall_minority,roc_auc
1,control,1:1,baseline,N/A,348,0.7362637362637363,0.7359767891682785,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7826402321083173
1,control,1:1,ctgan,Naive Oversampling,348,0.7362637362637363,0.7359767891682785,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7877176015473889
1,control,1:1,tvae,Naive Oversampling,348,0.7142857142857143,0.7142512077294686,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.776595744680851
1,control,1:1,ddpm,Naive Oversampling,348,0.7142857142857143,0.7139748549323017,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7790135396518375
2,control,1:1,baseline,N/A,348,0.7362637362637363,0.7359767891682785,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7826402321083173
2,control,1:1,ctgan,Naive Oversampling,348,0.7472527472527473,0.7467634603750757,0.735632183908046,0.7441860465116279,0.7272727272727273,0.7814313346228239
2,control,1:1,tvae,Naive Oversampling,348,0.7142857142857143,0.7142512077294686,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.776595744680851
2,control,1:1,ddpm,Naive Oversampling,348,0.7142857142857143,0.7139748549323017,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7790135396518375
3,control,1:1,baseline,N/A,348,0.7362637362637363,0.7359767891682785,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7826402321083173
3,control,1:1,ctgan,Naive Oversampling,348,0.7252747252747253,0.7247428917120387,0.7126436781609196,0.7209302325581395,0.7045454545454546,0.7879593810444874
3,control,1:1,tvae,Naive Oversampling,348,0.7142857142857143,0.7142512077294686,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.776595744680851
3,control,1:1,ddpm,Naive Oversampling,348,0.7142857142857143,0.7139748549323017,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7790135396518375
4,control,1:1,baseline,N/A,348,0.7362637362637363,0.7359767891682785,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7826402321083173
4,control,1:1,ctgan,Naive Oversampling,348,0.7362637362637363,0.7359767891682785,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7891682785299806
4,control,1:1,tvae,Naive Oversampling,348,0.7142857142857143,0.7142512077294686,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.776595744680851
4,control,1:1,ddpm,Naive Oversampling,348,0.7142857142857143,0.7139748549323017,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7790135396518375
5,control,1:1,baseline,N/A,348,0.7362637362637363,0.7359767891682785,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7826402321083173
5,control,1:1,ctgan,Naive Oversampling,348,0.7362637362637363,0.7359767891682785,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7872340425531915
5,control,1:1,tvae,Naive Oversampling,348,0.7142857142857143,0.7142512077294686,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.776595744680851
5,control,1:1,ddpm,Naive Oversampling,348,0.7142857142857143,0.7139748549323017,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7790135396518375
1,control,2:1,baseline,N/A,360,0.7032967032967034,0.7032967032967034,0.7032967032967034,0.6808510638297872,0.7272727272727273,0.7765957446808509
1,control,2:1,ctgan,Naive Oversampling,360,0.7142857142857143,0.7139748549323017,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7898936170212767
1,control,2:1,tvae,Naive Oversampling,360,0.7032967032967034,0.7031533164189925,0.6966292134831461,0.6888888888888889,0.7045454545454546,0.7978723404255319
1,control,2:1,ddpm,Naive Oversampling,360,0.7142857142857143,0.7139748549323017,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.793036750483559
2,control,2:1,baseline,N/A,360,0.7032967032967034,0.7032967032967034,0.7032967032967034,0.6808510638297872,0.7272727272727273,0.7765957446808509
2,control,2:1,ctgan,Naive Oversampling,360,0.7032967032967034,0.7031533164189925,0.6966292134831461,0.6888888888888889,0.7045454545454546,0.7956963249516441
2,control,2:1,tvae,Naive Oversampling,360,0.7032967032967034,0.7031533164189925,0.6966292134831461,0.6888888888888889,0.7045454545454546,0.7978723404255319
2,control,2:1,ddpm,Naive Oversampling,360,0.7142857142857143,0.7139748549323017,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.793036750483559
3,control,2:1,baseline,N/A,360,0.7032967032967034,0.7032967032967034,0.7032967032967034,0.6808510638297872,0.7272727272727273,0.7765957446808509
3,control,2:1,ctgan,Naive Oversampling,360,0.7032967032967034,0.7031533164189925,0.6966292134831461,0.6888888888888889,0.7045454545454546,0.7809477756286267
3,control,2:1,tvae,Naive Oversampling,360,0.7032967032967034,0.7031533164189925,0.6966292134831461,0.6888888888888889,0.7045454545454546,0.7978723404255319
3,control,2:1,ddpm,Naive Oversampling,360,0.7142857142857143,0.7139748549323017,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.793036750483559
4,control,2:1,baseline,N/A,360,0.7032967032967034,0.7032967032967034,0.7032967032967034,0.6808510638297872,0.7272727272727273,0.7765957446808509
4,control,2:1,ctgan,Naive Oversampling,360,0.7362637362637363,0.7359767891682785,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7882011605415861
4,control,2:1,tvae,Naive Oversampling,360,0.7032967032967034,0.7031533164189925,0.6966292134831461,0.6888888888888889,0.7045454545454546,0.7978723404255319
