dataset_type,imbalance_ratio,model,strategy,f1_minority_mean,f1_minority_std,roc_auc_mean,roc_auc_std,recall_minority_mean,recall_minority_std,precision_minority_mean,precision_minority_std
control,1:1,baseline,N/A,0.7272727272727273,0.0,0.7826402321083173,0.0,0.7272727272727273,0.0,0.7272727272727273,0.0
control,1:1,ctgan,Naive Oversampling,0.7260188087774295,0.00830704573222644,0.7867021276595745,0.0030314174117326326,0.7227272727272728,0.010163945352271754,0.7293868921775898,0.008716925212722331
control,1:1,ddpm,Naive Oversampling,0.7045454545454546,0.0,0.7790135396518375,0.0,0.7045454545454546,0.0,0.7045454545454546,0.0
control,1:1,tvae,Naive Oversampling,0.7111111111111111,0.0,0.776595744680851,0.0,0.7272727272727273,0.0,0.6956521739130435,0.0
control,2:1,baseline,N/A,0.7032967032967034,0.0,0.7765957446808509,0.0,0.7272727272727273,0.0,0.6808510638297872,0.0
control,2:1,ctgan,Naive Oversampling,0.7100702668118399,0.015157074114142076,0.7879593810444874,0.005505463025500838,0.7181818181818181,0.02032789070454356,0.7023447238340855,0.015719531450861142
control,2:1,ddpm,Naive Oversampling,0.7045454545454546,0.0,0.793036750483559,0.0,0.7045454545454546,0.0,0.7045454545454546,0.0
control,2:1,tvae,Naive Oversampling,0.6966292134831461,0.0,0.7978723404255319,0.0,0.7045454545454546,0.0,0.6888888888888889,0.0
imbalanced,1:1,baseline,N/A,0.6966292134831461,0.0,0.789651837524178,0.0,0.7045454545454546,0.0,0.6888888888888889,0.0
imbalanced,1:1,ctgan,Naive Oversampling,0.6966292134831461,0.0,0.789651837524178,0.0,0.7045454545454546,0.0,0.6888888888888889,0.0
imbalanced,1:1,ddpm,Naive Oversampling,0.6966292134831461,0.0,0.789651837524178,0.0,0.7045454545454546,0.0,0.6888888888888889,0.0
imbalanced,1:1,tvae,Naive Oversampling,0.6966292134831461,0.0,0.789651837524178,0.0,0.7045454545454546,0.0,0.6888888888888889,0.0
imbalanced,2:1,baseline,N/A,0.7252747252747253,0.0,0.7860251450676983,0.0,0.75,0.0,0.7021276595744681,0.0
imbalanced,2:1,ctgan,Naive Oversampling,0.7034432234432234,0.019929343362214795,0.7872823984526112,0.0008270131226541708,0.7227272727272728,0.02489647988659844,0.6851988899167438,0.015453781687241073
imbalanced,2:1,ddpm,Naive Oversampling,0.6896551724137931,0.0,0.7836073500967118,0.0,0.6818181818181818,0.0,0.6976744186046512,0.0
imbalanced,2:1,tvae,Naive Oversampling,0.6818181818181818,0.0,0.7867504835589941,0.0,0.6818181818181818,0.0,0.6818181818181818,0.0
